objektidentitet,lannamn,kommunnamn,sockenstadnamn,
0000E391-4384-4745-B12D-6BEF545AF509,Västerbotten,"Vännäs, Umeå, Nordmaling",Hörnefors,
007529D6-036B-4A4A-BAAD-77BD96C9B383,Halland,"Falkenberg, Varberg",Sibbarp,
00E4F2A6-A9B1-48CE-A251-E5E6672895A2,Stockholm,"Nynäshamn, Haninge",Ösmo,
012CCECC-F0A2-4CD5-9CEB-C02D467A747A,Örebro,"Lindesberg, Nora, Hällefors, Ljusnarsberg",Linde,
013345AA-4EB8-4BAE-ACE5-55031E7449D5,Kalmar,Kalmar,Voxtorp,
014A58CD-D8D7-4E8D-9986-2E2594E8B7B7,Västmanland,"Hallstahammar, Västerås, Surahammar",Hallstahammar,
01878F4B-4D54-4D40-9B30-2C4B54652192,Västra Götaland,"Vara, Skara, Lidköping",Öttum,
01C9ECFA-51DC-4199-92AB-51BC0715B0FF,Örebro,Örebro,Hovsta,
022BEF4E-B531-4603-A814-83BA5AA4B132,Västra Götaland,"Lidköping, Grästorp, Vänersborg, Grästorp, Lidköping",Friel,
02303FE5-A241-4E35-BEF1-E0CCEB10CB39,Västmanland,"Surahammar, Surahammar, Västerås, Skinnskatteberg, Sala, Fagersta",Ramnäs,
0242938B-F9D1-4BAC-9824-6C5992C53F32,Gävleborg,"Ljusdal, Bollnäs, Ovanåker, Bollnäs, Hudiksvall, Ljusdal",Järvsö,
0246CD1A-920D-4F40-AE87-5FBD01C52CE7,Norrbotten,"Övertorneå, Pajala, Övertorneå",Pajala,
024752BE-DC73-4CCE-99EF-7801369B50DF,Västra Götaland,Lidköping,Söne,
025B810B-70EB-4746-A6D3-99CF97AF9277,Uppsala,Enköping,Långtora,
02669A3A-9819-4DCD-8FD9-719358F82753,Södermanland,"Nyköping, Trosa, Gnesta",Lästringe,
02ABFD32-9FF5-49C9-AF53-CD982C59B37A,Stockholm,Norrtälje,Skederid,
02BDBEF9-997E-49BB-A583-73A84CAEE468,Skåne,Trelleborg,Lilla Beddinge,
02C3050B-BB0F-4D85-8659-F649661246AB,"Gävleborg, Jämtland","Ljusdal, Härjedalen",Ängersjö,
02D7B91E-C663-40B6-A66C-BFD7518C3D80,Dalarna,Säter,Säter,
0340B257-86F8-4222-8E2A-AAD85285CEC7,Södermanland,"Eskilstuna, Flen, Strängnäs, Flen, Strängnäs, Flen, Eskilstuna",Ärla,
03552FED-ED33-49E3-B09E-DF01D4AA626D,"Gävleborg, Uppsala","Gävle, Älvkarleby",Gävle,
0375929E-6F44-434E-B77A-9AB00D678D08,Västra Götaland,"Göteborg, Kungälv, Ale",Säve,
037975A5-2E50-41BB-91B0-8B59AA30A708,Västra Götaland,"Orust, Tjörn, Stenungsund, Uddevalla",Långelanda,
038D2281-AD12-4DC5-A206-90BC91FFD9A1,"Värmland, Dalarna, Värmland","Torsby, Malung-Sälen, Torsby",Dalby,
03956238-9319-4C33-9BB5-06C4AE82C726,Uppsala,Enköping,Giresta,
03AC91DB-58EA-4209-A604-B47C9E365CBF,"Örebro, Västmanland","Örebro, Arboga, Lindesberg, Köping",Fellingsbro,
03B3A7B2-EB1F-4DF5-AEBE-BD55D8C7F86D,"Västmanland, Västmanland, Dalarna","Surahammar, Fagersta, Sala, Surahammar, Sala, Fagersta, Norberg, Avesta",Västerfärnebo,
03BA8B89-6ED2-4822-B36D-7C1B04C9D5C8,"Uppsala, Västmanland, Västmanland","Enköping, Västerås, Sala, Västerås",Sevalla,
03DD197C-7D84-4C66-A847-9D6EC76F92AD,Västra Götaland,Åmål,Tösse,
03EB3AF8-D3F1-468B-A211-4E0F7371F09F,Skåne,"Staffanstorp, Burlöv, Lomma",Lomma,
03ED068C-856C-4F10-99BB-09471CA19CF6,Kalmar,"Kalmar, Nybro",Åby,
03F40742-0F10-4A9E-8503-A3F1C3E858CC,Norrbotten,"Haparanda, Övertorneå, Övertorneå, Pajala, Kalix, Haparanda, Övertorneå, Överkalix, Kalix",Hietaniemi,
040E5603-080F-47D4-9AB5-BE327C13334A,Östergötland,Norrköping,Dagsberg,
0434D6EE-E0F8-4D31-84C5-56FEFA11E224,Skåne,"Tomelilla, Hörby, Kristianstad",Hörröd,
044A2208-FBF8-4819-AD3E-FF2E94A69EF3,Skåne,Landskrona,Örja,
045A6CD1-3E58-4B11-89A4-45795F467C04,Västra Götaland,"Tranemo, Ulricehamn",Grönahög,
047D9752-1606-4B2C-A2C3-5E6FFDDDE461,Västra Götaland,"Färgelanda, Mellerud, Bengtsfors",Bäcke,
04829387-1C93-452F-BB6A-9F310FB77B2C,"Västernorrland, Jämtland","Ånge, Bräcke, Berg, Östersund",Bodsjö,
048352A2-3F29-40DD-8602-0AF24205B087,Västernorrland,Kramfors,Kramfors,
04917C32-4E91-4712-87FB-DDA9DB12984D,"Södermanland, Västmanland","Strängnäs, Västerås",Fogdö,
04A4D6B7-19E5-406B-84E5-A2CD0964D9BA,Västra Götaland,"Skövde, Töreboda, Mariestad, Skövde, Mariestad, Mariestad",Odensåker,
04A7E56B-B539-4F15-BF20-600CF9ABC1BC,Kalmar,Mörbylånga,Kastlösa,
04D735A6-0DCE-4CDA-BED6-4B8656B844DD,Västra Götaland,"Götene, Götene, Mariestad, Götene, Skövde, Mariestad",Holmestad,
04E2F9AA-E6D2-4AA4-8C70-E6CF9ACE5920,"Jönköping, Jönköping, Kalmar","Vetlanda, Vetlanda, Hultsfred",Alseda,
04F89790-A6D5-4DB5-823C-AE4C7B02431A,Jönköping,"Vetlanda, Nässjö, Eksjö",Höreda,
04FDB9A9-44D8-4549-9A99-4AD4C3605A1C,"Halland, Västra Götaland","Varberg, Mark",Torestorp,
053A9AF2-551C-4263-A40A-1BC1FF389B70,"Uppsala, Stockholm","Håbo, Upplands-Bro",Bro,
05457DCF-8599-4E3D-BD98-BB9D75A3D693,"Värmland, Västra Götaland","Säffle, Åmål",Tveta,
056E31DB-6366-4713-A8AF-C8BC07896FC3,Stockholm,"Vallentuna, Norrtälje, Vallentuna",Kårsta,
058E9E8A-1737-4E4D-A0D9-DF45A9C724BC,Västra Götaland,Lidköping,Tådene,
05A2C288-667C-4CEE-8C5F-045965B00DB0,Östergötland,"Söderköping, Norrköping, Norrköping",Kuddby,
05A3956C-4DFA-44FA-B15E-68379D73FD3B,Stockholm,"Värmdö, Österåker, Norrtälje",Ljusterö,
05ABC9AD-A28A-4AEC-A8DB-18E055114F27,Skåne,Trelleborg,Gislöv,
05D384E2-8897-41EA-AA0F-A86A7301780D,Skåne,"Lund, Svedala, Staffanstorp",Lyngby,
05D3BB46-A8E9-48BF-9C52-7505C0CDF510,"Uppsala, Västmanland, Uppsala","Heby, Sala, Heby",Enåker,
05D3FDD1-AB28-4A3C-B2BA-E1F70016900A,"Skåne, Blekinge, Kronoberg","Kristianstad, Osby, Östra Göinge, Olofström, Älmhult",Örkened,
05D81151-F155-4313-AEE8-22B293F14634,Stockholm,Norrtälje,Husby-Sjuhundra,
060229F4-7512-4CB8-886E-FC4C99E531EF,Skåne,"Helsingborg, Höganäs",Farhult,
0605EB4E-7959-4A1E-8AAE-4F7D10A08812,Värmland,"Karlstad, Säffle, Grums, Karlstad",Segerstad,
06214D10-BAEC-48C1-B98D-84901398DC91,Östergötland,Linköping,Törnevalla,
06443985-FB36-4AD7-88F0-E6DF795308C1,Blekinge,Karlshamn,Elleholm,
06603278-3598-4760-B952-6CB1D39A4089,Västra Götaland,"Bengtsfors, Dals-Ed",Håbol,
066F928C-0BF4-4D12-8ABB-1ADCCD80E391,Västra Götaland,"Skövde, Tibro",Sventorp,
0670611D-9A6A-4ED4-BDE4-3A5D9B92C433,Västra Götaland,Skövde,Hagelberg,
068877CA-3490-4189-B9B0-134DA84D7FC0,Skåne,Kristianstad,Köpinge,
06A4F36A-B67D-440B-9919-30CDA2FD6687,"Blekinge, Blekinge, Kronoberg, Kalmar","Karlskrona, Ronneby, Karlskrona, Tingsryd, Emmaboda",Eringsboda,
06A9D46B-1954-4BD4-BBD9-F23A363FC578,Skåne,"Hörby, Kristianstad, Hörby",Äspinge,
06F9FDE7-3337-4A62-B802-94A42739D7B4,Skåne,Sjöbo,Brandstad,
07023258-4B83-48D4-BD3C-5AA2F27C7D90,Västra Götaland,"Orust, Orust, Tjörn",Stala,
070ABFE7-FF0C-4A74-B84B-935B217CA9F3,Kronoberg,"Lessebo, Uppvidinge, Växjö",Herråkra,
0716B62F-E719-4ACE-856E-F63C91BBD807,"Stockholm, Uppsala","Sigtuna, Håbo, Knivsta",Haga,
071E9A1F-6E18-4188-B2D1-5A39AD158E32,Skåne,"Bjuv, Åstorp, Svalöv, Bjuv, Klippan, Åstorp",Stenestad,2022-07-24
072FE595-2B16-48FE-AE9F-DF98C5930A6D,"Skåne, Blekinge","Bromölla, Sölvesborg, Kristianstad",Ivetofta,2022-05-07
07398A25-968E-4C56-BB2E-2524E7BA163E,Västra Götaland,"Tranemo, Ulricehamn",Södra Säm,
07539C90-6F3B-470B-88D0-F77AB62CA421,Örebro,"Lekeberg, Laxå, Hallsberg, Lekeberg",Tångeråsa,
07C1F211-5984-43A7-8083-468AEBB87300,Västmanland,"Hallstahammar, Köping, Surahammar, Hallstahammar",Berg,
07C2D9B9-30EB-493E-BC57-A882DF7C8965,Jönköping,"Vetlanda, Sävsjö, Nässjö",Nävelsjö,
07E44AA0-1FA5-4B3E-8D62-676BF07CDA10,Halland,"Halmstad, Falkenberg",Asige,
07E71D80-BB48-4E5D-8154-F3E70CCEE500,Örebro,"Örebro, Kumla, Lekeberg, Örebro",Kräcklinge,
08122DA8-F062-4506-871D-080CC975D63D,Örebro,"Örebro, Lindesberg, Nora",Ervalla,
081FB691-7C93-4D29-8286-ECB4109E38E8,Gotland,Gotland,Fleringe,
0830E78A-5478-45F5-9D1F-0CD51B17DBA6,Östergötland,"Linköping, Norrköping, Linköping",Lillkyrka,
083432A6-310D-42C2-B90D-4320C57FDEDB,"Halland, Jönköping, Halland, Jönköping","Hylte, Gislaved, Hylte, Gislaved",Södra Hestra,
08478D05-05D3-4DBA-B3F6-79EC62BCBC8C,Kalmar,"Hultsfred, Vimmerby, Vimmerby",Vimmerby,
0848A637-ACD1-4567-8D71-27CE4DB40804,Skåne,"Svedala, Malmö, Staffanstorp",Bjärshög,
0852395F-0A5D-4F72-9AFB-883871654D42,Skåne,"Örkelljunga, Klippan, Ängelholm, Klippan, Perstorp, Örkelljunga, Ängelholm",Rya,
0855F03D-2559-4B41-A4AE-B86E42A68774,Kalmar,"Torsås, Kalmar, Emmaboda, Nybro",Karlslunda,
0873F257-FA9B-43F7-A15F-DC1B761F9106,Gotland,Gotland,Hemse,
08C69BA6-A0D3-4174-8F12-F15A07DCF1F4,Västernorrland,"Kramfors, Kramfors, Sollefteå, Sollefteå, Örnsköldsvik",Styrnäs,
08CB704E-1696-44C9-8BD2-0F4FF4BF95DC,Kalmar,Borgholm,Långlöt,
08E51956-AC58-4E37-BEAA-8C92EF1EB408,"Södermanland, Västmanland","Eskilstuna, Västerås",Vallby,
08FB6CC7-E7E2-43AB-AF4E-56614CD15C41,Skåne,Båstad,Båstad,
